Categorie,Feature,Beschrijving,Fase,MoSCoW,Impact
Facturatie,Aanbetaling,Eerste deel vooraf factureren,Fase 2 - Website & Polish,Should,Middel
Facturatie,Bekijk-notificatie,Notificatie wanneer klant factuur opent,Fase 2 - Website & Polish,Could,Laag
Facturatie,Urenregistratie → factuur,Gelogde uren omzetten naar factuurregels,Fase 3 - Groei,Could,Middel
Facturatie,Multi-valuta,"Factureren in EUR, GBP, USD, etc",Fase 4 - Schaal,Could,Middel
Facturatie,SEPA incasso,Automatische incasso voor terugkerende betalingen,Fase 4 - Schaal,Could,Laag
Facturatie,Stripe integratie,Alternatieve payment provider,Fase 3 - Groei,Could,Middel
Website,AI website generatie,Complete site genereren op basis van onboarding data,Fase 2 - Website & Polish,Must,Hoog
Website,Headless architectuur,"Site als front-end op API, alle features geïntegreerd",Fase 2 - Website & Polish,Must,Hoog
Website,Homepage,Gegenereerde homepage met propositie,Fase 2 - Website & Polish,Must,Hoog
Website,Diensten pagina,Overzicht van diensten met prijzen,Fase 2 - Website & Polish,Must,Hoog
Website,Booking integratie,Booking widget direct op de site,Fase 2 - Website & Polish,Must,Hoog
Website,Contact/offerte formulier,Aanvraagformulier dat lead aanmaakt,Fase 2 - Website & Polish,Must,Hoog
Website,Over mij/ons pagina,Gegenereerde about pagina,Fase 2 - Website & Polish,Should,Middel
Website,Aanpassen via chat,"""Maak de header tekst korter"", ""Voeg testimonials toe""",Fase 2 - Website & Polish,Must,Hoog
Website,Custom domein,Eigen domeinnaam koppelen,Fase 2 - Website & Polish,Should,Hoog
Website,SSL certificaat,Automatisch HTTPS,Fase 2 - Website & Polish,Must,Hoog
Website,SEO basics,"Meta tags, sitemap, robots.txt",Fase 2 - Website & Polish,Should,Middel
Website,Blog/content pagina,Simpele blog functionaliteit,Fase 3 - Groei,Could,Middel
Website,Testimonials,Klantreviews tonen,Fase 3 - Groei,Could,Laag
Website,Portfolio/cases,Werk tonen,Fase 3 - Groei,Could,Middel
Website,Analytics,"Bezoekers, conversie, etc",Fase 3 - Groei,Should,Middel
Website,Meertalig,Site in meerdere talen,Fase 4 - Schaal,Could,Middel
Client Portal,Klant login,Klant kan inloggen om eigen zaken te zien,Fase 2 - Website & Polish,Should,Hoog
Client Portal,Offertes bekijken,Overzicht van alle offertes,Fase 2 - Website & Polish,Should,Middel
Client Portal,Facturen bekijken/betalen,Overzicht facturen met betaalknop,Fase 2 - Website & Polish,Should,Hoog
Client Portal,Contracten bekijken,Getekende contracten inzien,Fase 2 - Website & Polish,Should,Middel
Client Portal,Documenten delen,Bestanden uitwisselen met dienstverlener,Fase 3 - Groei,Could,Middel
Client Portal,Berichten,Communicatie via portal,Fase 3 - Groei,Could,Middel
Client Portal,Project voortgang,Klant kan voortgang volgen,Fase 3 - Groei,Could,Middel
Templates,Offerte templates,Meerdere templates voor verschillende diensten,Fase 1 - MVP,Must,Hoog
Templates,Factuur templates,"NL-conform, aanpasbaar design",Fase 1 - MVP,Must,Hoog
Templates,Contract templates,Juridisch correcte NL templates,Fase 1 - MVP,Must,Hoog
Templates,Email templates,"Standaard emails: bevestiging, herinnering, follow-up",Fase 1 - MVP,Should,Middel
Templates,Template editor,Templates aanpassen door gebruiker,Fase 2 - Website & Polish,Should,Middel
Templates,Branding op templates,"Logo, kleuren, fonts doorvoeren",Fase 2 - Website & Polish,Should,Hoog
Templates,Template marketplace,Community/premium templates,Fase 4 - Schaal,Could,Laag
Templates,Branche-specifieke templates,"Templates per branche: consultant, fotograaf, coach, etc",Fase 3 - Groei,Should,Middel
Communicatie,Email versturen vanuit platform,"Offertes, facturen, herinneringen via platform email",Fase 1 - MVP,Must,Hoog
Communicatie,Email notificaties,"Notificaties bij nieuwe booking, betaling, etc",Fase 1 - MVP,Must,Hoog
Communicatie,In-app notificaties,Meldingen binnen de applicatie,Fase 2 - Website & Polish,Should,Middel
Communicatie,Email inbox integratie,Klant emails lezen/beantwoorden vanuit platform,Fase 3 - Groei,Could,Hoog
Communicatie,WhatsApp integratie,Berichten via WhatsApp Business,Fase 4 - Schaal,Could,Middel
Communicatie,SMS notificaties,Afspraakherinneringen via SMS,Fase 4 - Schaal,Could,Laag
Communicatie,Bulk email,Nieuwsbrief of update naar meerdere klanten,Fase 4 - Schaal,Could,Middel
Rapportages,Omzet overzicht,Maandelijks/jaarlijks omzet dashboard,Fase 2 - Website & Polish,Should,Hoog
Rapportages,Openstaande bedragen,Overzicht onbetaalde facturen,Fase 1 - MVP,Must,Hoog
Rapportages,Pipeline waarde,Totale waarde van openstaande offertes,Fase 2 - Website & Polish,Should,Middel
Rapportages,Conversie ratio,Percentage offertes dat leidt tot opdracht,Fase 3 - Groei,Could,Middel
Rapportages,Klant lifetime value,Totale omzet per klant over tijd,Fase 3 - Groei,Could,Middel
Rapportages,BTW aangifte export,BTW overzicht per kwartaal voor aangifte,Fase 3 - Groei,Should,Hoog
Rapportages,Cashflow overzicht,Verwachte inkomsten op basis van openstaande facturen,Fase 3 - Groei,Could,Middel
Rapportages,AI insights,"""Je omzet is 20% gestegen tov vorig kwartaal""",Fase 3 - Groei,Could,Middel
Rapportages,Export naar CSV/Excel,Data exporteren voor boekhouder,Fase 2 - Website & Polish,Should,Middel
Integraties,Mollie,"iDEAL, creditcard, Bancontact",Fase 1 - MVP,Must,Hoog
Integraties,Google Calendar,Twee-weg kalender sync,Fase 1 - MVP,Must,Hoog
Integraties,Moneybird,Facturen/boekingen sync naar Moneybird,Fase 3 - Groei,Should,Hoog
Integraties,e-Boekhouden,Facturen/boekingen sync,Fase 3 - Groei,Could,Middel
Integraties,Exact Online,Boekhouding sync,Fase 3 - Groei,Could,Middel
Integraties,Outlook Calendar,Microsoft kalender sync,Fase 3 - Groei,Could,Middel
Integraties,Zapier,Connector naar 5000+ apps,Fase 3 - Groei,Should,Hoog
Integraties,Make (Integromat),Alternatieve automation connector,Fase 4 - Schaal,Could,Middel
Integraties,Google Meet/Zoom,Automatisch meeting link bij booking,Fase 2 - Website & Polish,Should,Middel
Integraties,Stripe,Alternatieve payment provider,Fase 3 - Groei,Could,Middel
Integraties,KvK API,Bedrijfsgegevens ophalen,Fase 3 - Groei,Could,Middel
Integraties,VIES/BTW check,EU BTW-nummer validatie,Fase 3 - Groei,Should,Middel
Integraties,Webhook API,Custom webhooks voor events,Fase 3 - Groei,Should,Middel
Integraties,LinkedIn,"Profiel data, sharing",Fase 4 - Schaal,Could,Laag
Gebruikersbeheer,Registratie & login,Email/wachtwoord account aanmaken,Fase 1 - MVP,Must,Hoog
Gebruikersbeheer,Magic link login,Passwordless login via email link,Fase 1 - MVP,Should,Middel
Gebruikersbeheer,Profiel beheer,Eigen gegevens aanpassen,Fase 1 - MVP,Must,Hoog
Gebruikersbeheer,Wachtwoord reset,Wachtwoord vergeten flow,Fase 1 - MVP,Must,Hoog
Gebruikersbeheer,Twee-factor authenticatie,2FA via app of SMS,Fase 2 - Website & Polish,Should,Middel
Gebruikersbeheer,Team accounts,Meerdere gebruikers per organisatie,Fase 4 - Schaal,Could,Hoog
Gebruikersbeheer,Rollen & rechten,"Admin, medewerker, boekhouder rollen",Fase 4 - Schaal,Could,Hoog
Gebruikersbeheer,Multi-brand,Meerdere bedrijven per account,Fase 4 - Schaal,Could,Middel
Gebruikersbeheer,SSO,"Single Sign-On (Google, Microsoft)",Fase 3 - Groei,Could,Middel
Gebruikersbeheer,Account verwijderen,GDPR compliant account deletion,Fase 2 - Website & Polish,Must,Middel
Urenregistratie,Uren loggen,Tijd registreren per klant/project,Fase 3 - Groei,Should,Middel
Urenregistratie,Timer,Start/stop timer voor actief werk,Fase 3 - Groei,Could,Middel
Urenregistratie,Uren → factuur,Gelogde uren omzetten naar factuurregels,Fase 3 - Groei,Should,Middel
Urenregistratie,Uren overzicht,Rapportage over bestede tijd per klant/project,Fase 3 - Groei,Could,Middel
Urenregistratie,Uurtarief per klant,Verschillende tarieven per klant,Fase 3 - Groei,Should,Middel
Projectbeheer,Project aanmaken,Project koppelen aan klant met beschrijving en budget,Fase 2 - Website & Polish,Should,Middel
Projectbeheer,Project status,Basis statustracking per project,Fase 2 - Website & Polish,Should,Middel
Projectbeheer,Taken,Simpele takenlijst per project,Fase 3 - Groei,Could,Middel
Projectbeheer,Deadline tracking,Herinneringen bij naderende deadlines,Fase 3 - Groei,Could,Middel
Projectbeheer,Bestanden bij project,Documenten uploaden en delen per project,Fase 3 - Groei,Could,Middel
Automatisering,Offerte herinnering,Auto herinnering bij onbeantwoorde offerte,Fase 1 - MVP,Must,Hoog
Automatisering,Factuur herinnering,Auto herinnering bij onbetaalde factuur,Fase 1 - MVP,Must,Hoog
Automatisering,Contract na offerte,Contract klaarzetten als offerte geaccepteerd,Fase 1 - MVP,Should,Middel
Automatisering,Welkomstmail nieuwe klant,Automatische email bij nieuwe klant/booking,Fase 2 - Website & Polish,Should,Middel
Automatisering,Follow-up na project,Automatische check-in na afronding project,Fase 3 - Groei,Could,Middel
Automatisering,Inactiviteit alert,"""Je hebt Klant X al 90 dagen niet gesproken""",Fase 3 - Groei,Could,Middel
Automatisering,Verjaardag/seizoensgroet,Automatische felicitatie/groet,Fase 4 - Schaal,Could,Laag
Automatisering,Custom automations via AI,"""Als een offerte geaccepteerd wordt, plan automatisch een kickoff""",Fase 3 - Groei,Could,Hoog
Mobile,Responsive web app,Goed werkend op mobiel via browser,Fase 1 - MVP,Must,Hoog
Mobile,PWA,Installeerbaar als app via browser,Fase 2 - Website & Polish,Should,Middel
Mobile,Push notificaties,Meldingen op telefoon,Fase 3 - Groei,Should,Middel
Mobile,Native iOS app,Dedicated iPhone app,Fase 4 - Schaal,Could,Hoog
Mobile,Native Android app,Dedicated Android app,Fase 4 - Schaal,Could,Hoog
Platform,Multi-tenant architectuur,Meerdere gebruikers op één platform,Fase 1 - MVP,Must,Hoog
Platform,API-first design,Alle functionaliteit beschikbaar via API,Fase 1 - MVP,Must,Hoog
Platform,GDPR compliance,"Privacy beleid, data verwerking, cookie consent",Fase 1 - MVP,Must,Hoog
Platform,Data backup,Automatische dagelijkse backups,Fase 1 - MVP,Must,Hoog
Platform,EU hosting,Servers in EU voor data soevereiniteit,Fase 1 - MVP,Must,Hoog
Platform,Rate limiting,API bescherming tegen misbruik,Fase 2 - Website & Polish,Should,Middel
Platform,Audit logging,Bijhouden wie wat wanneer heeft gedaan,Fase 3 - Groei,Should,Middel
Platform,Public API,API voor externe developers,Fase 4 - Schaal,Could,Middel
Platform,API documentatie,Developer docs voor public API,Fase 4 - Schaal,Could,Middel
Platform,Sandbox omgeving,Test environment voor developers,Fase 4 - Schaal,Could,Laag
Marketing Site,Landing page,Publieke website voor het product zelf,Fase 1 - MVP,Must,Hoog
Marketing Site,Pricing pagina,Duidelijke pricing overzicht,Fase 1 - MVP,Must,Hoog
Marketing Site,Feature paginas,Uitleg per feature voor SEO en conversie,Fase 2 - Website & Polish,Should,Middel
Marketing Site,Blog,Content marketing voor SEO,Fase 2 - Website & Polish,Should,Middel
Marketing Site,Testimonials/cases,Klant succesverhalen,Fase 2 - Website & Polish,Should,Hoog
Marketing Site,Helpdesk/docs,Kennisbank en FAQ,Fase 2 - Website & Polish,Should,Middel
Marketing Site,Demo/video,Product demonstratie video,Fase 2 - Website & Polish,Should,Middel
Marketing Site,Branche paginas,"Specifieke paginas per doelgroep (consultant, fotograaf, etc)",Fase 3 - Groei,Should,Middel
Marketing Site,Vergelijkingspaginas,"ServiceOS vs HoneyBook, vs Dubsado, etc",Fase 3 - Groei,Could,Middel
Marketing Site,Affiliate programma,Partners die het product aanbevelen,Fase 4 - Schaal,Could,Middel
Marketing Site,Referral systeem,Klant-werft-klant programma,Fase 4 - Schaal,Could,Middel
Billing,Subscription management,Gebruikers abonnement beheren,Fase 1 - MVP,Must,Hoog
Billing,Free trial,X dagen gratis proberen,Fase 1 - MVP,Must,Hoog
Billing,Plan tiers,"Verschillende abonnementen (starter, pro, etc)",Fase 1 - MVP,Must,Hoog
Billing,Upgrade/downgrade,Zelf plan wijzigen,Fase 2 - Website & Polish,Should,Middel
Billing,Facturen eigen platform,Facturen voor het ServiceOS abonnement,Fase 1 - MVP,Must,Middel
Billing,Opzeggen,Self-service opzegflow,Fase 2 - Website & Polish,Must,Middel
Lokalisatie,Nederlandse interface,Volledige NL vertaling,Fase 1 - MVP,Must,Hoog
Lokalisatie,Nederlandse AI output,Alle gegenereerde teksten in het Nederlands,Fase 1 - MVP,Must,Hoog
Lokalisatie,Engelse interface,Volledige EN vertaling,Fase 3 - Groei,Should,Hoog
Lokalisatie,Duitse interface,Volledige DE vertaling,Fase 4 - Schaal,Could,Middel
Lokalisatie,Franse interface,Volledige FR vertaling,Fase 4 - Schaal,Could,Middel
Lokalisatie,Belgische BTW,Belgische BTW tarieven en regels,Fase 4 - Schaal,Could,Middel
Lokalisatie,Duitse BTW,USt regels en tarieven,Fase 4 - Schaal,Could,Middel
Lokalisatie,Datumnotatie per land,dd-mm-yyyy vs mm/dd/yyyy etc,Fase 3 - Groei,Should,Laag
Lokalisatie,Valuta per land,"EUR, GBP, CHF, etc",Fase 4 - Schaal,Could,Middel
